country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Brazil,3033.77,3004.29,3003.73,2942.09,2594.39,2242.47,2343.24,2018.37,2057.76,1812.3,1665.12,1275.74,1091.14,1079.48
Canada,3132.93,2889.6,3147.96,3038.45,2889.0,2935.59,2661.4,2413.79,2159.14,2826.8,1619.95,1517.71,1777.53,1420.23
China,1723.99,1677.19,1623.5,1553.91,1582.43,1536.31,1530.85,1450.48,1502.9,1421.82,1453.0,1284.11,1143.46,986.3
Denmark,2763.3,2972.08,2394.86,2607.32,,2210.64,2210.64,2036.85,2213.14,2210.05,2210.05,,,
France,2881.23,2583.24,2344.06,2209.23,2087.41,2081.95,2060.0,2346.6,2266.41,2052.76,1781.18,1973.14,1988.31,1745.81
Germany,2641.71,2641.71,2399.99,2370.91,2339.01,2295.45,2251.69,2251.34,2214.29,2049.64,2040.37,1898.88,1964.8,1750.02
India,1594.0,1412.36,1687.04,1733.84,1662.69,1481.83,1363.08,1347.69,1349.01,1226.42,1193.53,1027.24,1163.31,1208.13
Italy,2971.59,3645.29,3410.62,2352.96,2306.43,2468.56,2080.18,2976.52,2044.95,1942.52,1989.78,1527.92,1502.54,1369.07
Japan,3193.14,2714.17,4033.13,3593.25,3395.51,2701.89,3193.55,2873.96,3036.78,2631.71,3665.29,3473.97,3649.98,2384.45
Mexico,3263.14,2978.74,2584.08,2910.29,2946.2,2527.21,2350.02,,1757.05,2057.34,1762.9,1632.4,1576.6,
Spain,2849.27,2771.89,2431.7,2420.65,2038.95,1927.94,1899.28,2084.63,2720.85,1804.94,1416.39,1299.72,1201.73,1158.18
Sweden,2708.57,2491.88,2710.5,2336.18,2495.66,2231.59,2052.6,1860.2,1484.62,1558.12,1561.09,1464.72,1282.49,1534.61
Turkey,2811.19,2602.65,2060.06,2271.75,2193.78,2259.62,2278.27,2056.28,2180.62,1957.23,1548.47,1421.28,1716.85,1433.9
United Kingdom,2584.93,2744.35,2683.77,2696.83,2634.67,2595.22,2433.23,2457.9,2147.1,2205.9,1999.64,2152.0,1536.9,1272.66
