country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,8034.08,7882.33,5709.45,3351.09,3497.77,2600.89,2239.43,2292.33,1767.6,1454.59,1218.93,1134.93,956.67,988.63
Chile,,,2420.37,3578.39,3124.85,2844.05,2532.55,2260.38,2160.37,2008.52,1224.34,1179.63,920.85,953.81
China,4211.45,3955.88,3189.57,2462.03,2051.07,1584.7,1434.5,1345.78,1022.83,924.11,747.95,696.87,741.61,671.13
France,6362.66,6504.72,5752.95,3774.65,2755.53,1813.74,1535.16,1442.46,1249.05,1138.72,1086.96,896.61,1199.7,954.78
Germany,4309.48,3427.58,2723.41,2334.53,1861.15,1488.51,1351.35,1295.88,1294.65,1045.38,804.12,769.41,1032.67,730.77
India,5875.45,3619.66,3175.53,3268.69,2218.34,1511.65,1301.16,1297.57,921.83,719.16,684.94,654.06,664.04,711.33
Italy,6024.42,5645.99,2990.08,2367.65,2293.62,,,1130.89,1012.26,965.59,897.37,870.7,799.39,821.34
Japan,,6317.03,4557.52,3893.8,3569.56,2582.99,2834.18,2570.88,2443.86,2407.67,2105.78,1878.46,1975.54,1875.24
Mexico,,,5186.58,3266.37,2883.94,2019.98,2607.94,2352.84,1723.01,1440.36,1011.22,967.24,993.36,1049.52
Netherlands,,,,,,,1334.05,1800.31,1358.47,1304.26,1291.45,1133.91,1266.24,753.2
Republic of Korea,10459.48,6864.5,2664.1,3097.08,2572.01,2432.58,2400.6,1839.16,1542.3,1456.3,1090.55,1043.29,1387.1,1205.26
Spain,5434.09,3795.97,3126.77,2686.68,2693.93,1389.61,,,,891.34,876.15,905.11,806.95,670.77
Turkey,,,,,,,1822.01,1461.39,1402.44,1071.35,950.26,898.61,715.39,715.36
United Kingdom,6877.54,5466.46,3234.41,2681.94,2260.18,1778.45,1703.55,1473.57,1584.19,1183.56,971.94,940.78,943.39,932.69
United States,5331.13,5223.88,5137.25,4553.22,3356.25,2990.72,2583.4,2178.35,1801.23,1419.75,1286.66,1204.24,1159.75,1108.53
